customer_id,customer_type,village,distance_km,first_order_date
C0001,Retail farmer,Umreth,22,2024-01-01
C0002,Retail farmer,Dakor,12,2024-01-01
C0003,Home gardener,Mahudha,30,2024-01-01
C0004,Retail farmer,Mahudha,30,2024-01-01
C0005,Wholesale / dealer,Jesapura,1,2024-01-02
C0006,Retail farmer,Mithapura,1,2024-01-05
C0007,Retail farmer,Mithapura,1,2024-01-05
C0008,Wholesale / dealer,Thasra,9,2024-01-06
C0009,Wholesale / dealer,Mahudha,30,2024-01-06
C0010,Home gardener,Nadiad,38,2024-01-07
C0011,Home gardener,Dakor,12,2024-01-09
C0012,Retail farmer,Kathlal,35,2024-01-10
C0013,Home gardener,Dakor,12,2024-01-10
C0014,Home gardener,Sevalia,18,2024-01-12
C0015,Retail farmer,Nadiad,38,2024-01-12
C0016,Retail farmer,Thasra,9,2024-01-14
C0017,Retail farmer,Dakor,12,2024-01-15
C0018,Retail farmer,Mithapura,1,2024-01-16
C0019,Retail farmer,Thasra,9,2024-01-17
C0020,Retail farmer,Thasra,9,2024-01-17
C0021,Retail farmer,Kathlal,35,2024-01-17
C0022,Retail farmer,Anand,42,2024-01-21
C0023,Retail farmer,Sevalia,18,2024-01-22
C0024,Retail farmer,Jesapura,1,2024-01-23
C0025,Retail farmer,Anand,42,2024-01-24
C0026,Retail farmer,Balasinor,28,2024-01-24
C0027,Retail farmer,Jesapura,1,2024-01-26
C0028,Retail farmer,Dakor,12,2024-01-26
C0029,Retail farmer,Mahudha,30,2024-01-27
C0030,Retail farmer,Sevalia,18,2024-01-27
C0031,Retail farmer,Jesapura,1,2024-01-30
C0032,Retail farmer,Jesapura,1,2024-02-01
C0033,Home gardener,Thasra,9,2024-02-01
C0034,Retail farmer,Nadiad,38,2024-02-01
C0035,Home gardener,Nadiad,38,2024-02-01
C0036,Retail farmer,Anand,42,2024-02-02
C0037,Retail farmer,Mithapura,1,2024-02-05
C0038,Retail farmer,Mithapura,1,2024-02-06
C0039,Retail farmer,Thasra,9,2024-02-08
C0040,Retail farmer,Umreth,22,2024-02-09
C0041,Retail farmer,Dakor,12,2024-02-11
C0042,Retail farmer,Thasra,9,2024-02-12
C0043,Retail farmer,Dakor,12,2024-02-12
C0044,Retail farmer,Thasra,9,2024-02-13
C0045,Retail farmer,Jesapura,1,2024-02-13
C0046,Wholesale / dealer,Kapadvanj,40,2024-02-14
C0047,Retail farmer,Mithapura,1,2024-02-14
C0048,Retail farmer,Mithapura,1,2024-02-15
C0049,Retail farmer,Mithapura,1,2024-02-20
C0050,Retail farmer,Kapadvanj,40,2024-02-21
C0051,Retail farmer,Sevalia,18,2024-02-24
C0052,Retail farmer,Dakor,12,2024-02-25
C0053,Retail farmer,Thasra,9,2024-02-25
C0054,Retail farmer,Kapadvanj,40,2024-02-25
C0055,Retail farmer,Sevalia,18,2024-02-28
C0056,Retail farmer,Umreth,22,2024-02-28
C0057,Retail farmer,Anand,42,2024-02-28
C0058,Retail farmer,Kapadvanj,40,2024-03-02
C0059,Retail farmer,Nadiad,38,2024-03-03
C0060,Retail farmer,Nadiad,38,2024-03-04
C0061,Retail farmer,Balasinor,28,2024-03-06
C0062,Retail farmer,Thasra,9,2024-03-07
C0063,Retail farmer,Dakor,12,2024-03-08
C0064,Retail farmer,Nadiad,38,2024-03-09
C0065,Retail farmer,Anand,42,2024-03-10
C0066,Wholesale / dealer,Nadiad,38,2024-03-11
C0067,Retail farmer,Jesapura,1,2024-03-13
C0068,Wholesale / dealer,Thasra,9,2024-03-16
C0069,Retail farmer,Dakor,12,2024-03-16
C0070,Home gardener,Anand,42,2024-03-19
C0071,Retail farmer,Anand,42,2024-03-22
C0072,Retail farmer,Umreth,22,2024-03-22
C0073,Retail farmer,Dakor,12,2024-03-22
C0074,Retail farmer,Dakor,12,2024-03-24
C0075,Retail farmer,Anand,42,2024-03-25
C0076,Retail farmer,Jesapura,1,2024-03-28
C0077,Retail farmer,Nadiad,38,2024-04-02
C0078,Retail farmer,Anand,42,2024-04-03
C0079,Wholesale / dealer,Thasra,9,2024-04-04
C0080,Retail farmer,Thasra,9,2024-04-05
C0081,Retail farmer,Thasra,9,2024-04-06
C0082,Retail farmer,Dakor,12,2024-04-07
C0083,Wholesale / dealer,Nadiad,38,2024-04-08
C0084,Retail farmer,Thasra,9,2024-04-09
C0085,Retail farmer,Sevalia,18,2024-04-11
C0086,Home gardener,Mahudha,30,2024-04-12
C0087,Home gardener,Umreth,22,2024-04-12
C0088,Retail farmer,Umreth,22,2024-04-13
C0089,Retail farmer,Kapadvanj,40,2024-04-14
C0090,Retail farmer,Nadiad,38,2024-04-14
C0091,Retail farmer,Mahudha,30,2024-04-15
C0092,Home gardener,Dakor,12,2024-04-15
C0093,Retail farmer,Dakor,12,2024-04-15
C0094,Home gardener,Mahudha,30,2024-04-16
C0095,Retail farmer,Thasra,9,2024-04-18
C0096,Retail farmer,Mahudha,30,2024-04-18
C0097,Home gardener,Kathlal,35,2024-04-19
C0098,Retail farmer,Dakor,12,2024-04-19
C0099,Retail farmer,Mithapura,1,2024-04-21
C0100,Retail farmer,Mahudha,30,2024-04-22
C0101,Retail farmer,Mahudha,30,2024-04-23
C0102,Retail farmer,Jesapura,1,2024-04-23
C0103,Retail farmer,Nadiad,38,2024-04-24
C0104,Retail farmer,Dakor,12,2024-04-26
C0105,Retail farmer,Dakor,12,2024-04-27
C0106,Retail farmer,Kapadvanj,40,2024-04-29
C0107,Retail farmer,Umreth,22,2024-05-01
C0108,Retail farmer,Kathlal,35,2024-05-02
C0109,Retail farmer,Umreth,22,2024-05-02
C0110,Retail farmer,Kathlal,35,2024-05-02
C0111,Retail farmer,Thasra,9,2024-05-02
C0112,Retail farmer,Anand,42,2024-05-02
C0113,Retail farmer,Sevalia,18,2024-05-03
C0114,Retail farmer,Kapadvanj,40,2024-05-03
C0115,Retail farmer,Balasinor,28,2024-05-04
C0116,Retail farmer,Dakor,12,2024-05-04
C0117,Retail farmer,Balasinor,28,2024-05-04
C0118,Retail farmer,Jesapura,1,2024-05-04
C0119,Retail farmer,Thasra,9,2024-05-05
C0120,Retail farmer,Thasra,9,2024-05-05
C0121,Retail farmer,Kapadvanj,40,2024-05-05
C0122,Retail farmer,Kapadvanj,40,2024-05-06
C0123,Retail farmer,Kapadvanj,40,2024-05-06
C0124,Retail farmer,Anand,42,2024-05-06
C0125,Wholesale / dealer,Mahudha,30,2024-05-07
C0126,Home gardener,Thasra,9,2024-05-07
C0127,Retail farmer,Mithapura,1,2024-05-09
C0128,Retail farmer,Kapadvanj,40,2024-05-10
C0129,Retail farmer,Umreth,22,2024-05-10
C0130,Retail farmer,Sevalia,18,2024-05-10
C0131,Retail farmer,Kathlal,35,2024-05-11
C0132,Retail farmer,Kathlal,35,2024-05-11
C0133,Retail farmer,Nadiad,38,2024-05-12
C0134,Retail farmer,Umreth,22,2024-05-12
C0135,Home gardener,Jesapura,1,2024-05-13
C0136,Retail farmer,Balasinor,28,2024-05-13
C0137,Home gardener,Balasinor,28,2024-05-14
C0138,Retail farmer,Sevalia,18,2024-05-14
C0139,Wholesale / dealer,Anand,42,2024-05-15
C0140,Retail farmer,Mithapura,1,2024-05-15
C0141,Home gardener,Thasra,9,2024-05-16
C0142,Retail farmer,Mahudha,30,2024-05-18
C0143,Retail farmer,Mahudha,30,2024-05-18
C0144,Retail farmer,Kapadvanj,40,2024-05-18
C0145,Retail farmer,Nadiad,38,2024-05-19
C0146,Retail farmer,Balasinor,28,2024-05-19
C0147,Retail farmer,Umreth,22,2024-05-19
C0148,Retail farmer,Sevalia,18,2024-05-20
C0149,Retail farmer,Mithapura,1,2024-05-20
C0150,Retail farmer,Thasra,9,2024-05-21
C0151,Retail farmer,Anand,42,2024-05-21
C0152,Retail farmer,Sevalia,18,2024-05-22
C0153,Home gardener,Dakor,12,2024-05-23
C0154,Retail farmer,Sevalia,18,2024-05-23
C0155,Home gardener,Dakor,12,2024-05-25
C0156,Retail farmer,Balasinor,28,2024-05-25
C0157,Home gardener,Kathlal,35,2024-05-26
C0158,Retail farmer,Kapadvanj,40,2024-05-28
C0159,Retail farmer,Thasra,9,2024-05-28
C0160,Retail farmer,Nadiad,38,2024-05-28
C0161,Retail farmer,Jesapura,1,2024-05-28
C0162,Retail farmer,Jesapura,1,2024-05-28
C0163,Retail farmer,Thasra,9,2024-05-29
C0164,Retail farmer,Kapadvanj,40,2024-05-29
C0165,Retail farmer,Jesapura,1,2024-05-31
C0166,Retail farmer,Jesapura,1,2024-06-01
C0167,Wholesale / dealer,Sevalia,18,2024-06-01
C0168,Retail farmer,Anand,42,2024-06-01
C0169,Retail farmer,Dakor,12,2024-06-01
C0170,Retail farmer,Kathlal,35,2024-06-01
C0171,Home gardener,Kathlal,35,2024-06-02
C0172,Retail farmer,Thasra,9,2024-06-03
C0173,Retail farmer,Kathlal,35,2024-06-03
C0174,Retail farmer,Balasinor,28,2024-06-03
C0175,Retail farmer,Dakor,12,2024-06-04
C0176,Retail farmer,Umreth,22,2024-06-04
C0177,Home gardener,Dakor,12,2024-06-05
C0178,Retail farmer,Dakor,12,2024-06-05
C0179,Retail farmer,Nadiad,38,2024-06-05
C0180,Retail farmer,Thasra,9,2024-06-05
C0181,Retail farmer,Sevalia,18,2024-06-06
C0182,Wholesale / dealer,Dakor,12,2024-06-07
C0183,Retail farmer,Kathlal,35,2024-06-07
C0184,Retail farmer,Balasinor,28,2024-06-07
C0185,Retail farmer,Dakor,12,2024-06-07
C0186,Retail farmer,Anand,42,2024-06-07
C0187,Retail farmer,Kapadvanj,40,2024-06-08
C0188,Retail farmer,Thasra,9,2024-06-08
C0189,Retail farmer,Balasinor,28,2024-06-08
C0190,Home gardener,Dakor,12,2024-06-08
C0191,Retail farmer,Nadiad,38,2024-06-09
C0192,Retail farmer,Kapadvanj,40,2024-06-09
C0193,Retail farmer,Thasra,9,2024-06-09
C0194,Retail farmer,Thasra,9,2024-06-09
C0195,Retail farmer,Dakor,12,2024-06-10
C0196,Retail farmer,Mahudha,30,2024-06-11
C0197,Retail farmer,Mahudha,30,2024-06-11
C0198,Retail farmer,Thasra,9,2024-06-11
C0199,Retail farmer,Dakor,12,2024-06-11
C0200,Retail farmer,Nadiad,38,2024-06-11
C0201,Retail farmer,Dakor,12,2024-06-11
C0202,Home gardener,Nadiad,38,2024-06-12
C0203,Wholesale / dealer,Mithapura,1,2024-06-12
C0204,Retail farmer,Mahudha,30,2024-06-12
C0205,Retail farmer,Jesapura,1,2024-06-12
C0206,Retail farmer,Mahudha,30,2024-06-13
C0207,Retail farmer,Anand,42,2024-06-13
C0208,Retail farmer,Kapadvanj,40,2024-06-13
C0209,Retail farmer,Umreth,22,2024-06-14
C0210,Retail farmer,Umreth,22,2024-06-14
C0211,Retail farmer,Nadiad,38,2024-06-14
C0212,Wholesale / dealer,Mithapura,1,2024-06-14
C0213,Home gardener,Mithapura,1,2024-06-14
C0214,Retail farmer,Thasra,9,2024-06-15
C0215,Wholesale / dealer,Nadiad,38,2024-06-15
C0216,Retail farmer,Umreth,22,2024-06-16
C0217,Retail farmer,Kapadvanj,40,2024-06-16
C0218,Home gardener,Umreth,22,2024-06-16
C0219,Retail farmer,Thasra,9,2024-06-17
C0220,Retail farmer,Mithapura,1,2024-06-17
C0221,Retail farmer,Mithapura,1,2024-06-17
C0222,Retail farmer,Dakor,12,2024-06-17
C0223,Retail farmer,Umreth,22,2024-06-17
C0224,Wholesale / dealer,Mithapura,1,2024-06-18
C0225,Retail farmer,Thasra,9,2024-06-18
C0226,Retail farmer,Dakor,12,2024-06-18
C0227,Retail farmer,Anand,42,2024-06-19
C0228,Retail farmer,Thasra,9,2024-06-19
C0229,Wholesale / dealer,Jesapura,1,2024-06-19
C0230,Retail farmer,Jesapura,1,2024-06-19
C0231,Retail farmer,Anand,42,2024-06-19
C0232,Home gardener,Thasra,9,2024-06-19
C0233,Wholesale / dealer,Mithapura,1,2024-06-19
C0234,Retail farmer,Mithapura,1,2024-06-20
C0235,Retail farmer,Kapadvanj,40,2024-06-20
C0236,Retail farmer,Umreth,22,2024-06-21
