order_id,order_date,customer_id,customer_type,variety_id,crop,method,quantity,unit_price_inr,discount_pct,revenue_inr,payment_mode,channel,fulfilment
O000001,2024-01-01,C0001,Retail farmer,V07,Chilli,Pro-tray,700,1.27,0.0,889.0,UPI,Walk-in,Self pickup
O000002,2024-01-01,C0002,Retail farmer,V11,Capsicum,Pro-tray,1100,3.12,0.0,3432.0,UPI,Phone call,Self pickup
O000003,2024-01-01,C0001,Retail farmer,V12,Tomato,Pro-tray,1500,1.83,0.0,2745.0,Credit,Walk-in,Self pickup
O000004,2024-01-01,C0003,Home gardener,V12,Tomato,Pro-tray,100,1.82,0.0,182.0,Cash,Phone call,Self pickup
O000005,2024-01-01,C0004,Retail farmer,V13,Brinjal,Nursery bed,1000,0.79,0.0,790.0,Cash,Phone call,Self pickup
O000006,2024-01-02,C0005,Wholesale / dealer,V06,Chilli,Pro-tray,3100,1.31,10.2,3646.78,UPI,Walk-in,Self pickup
O000007,2024-01-02,C0005,Wholesale / dealer,V13,Brinjal,Pro-tray,6100,1.22,10.7,6645.71,UPI,Phone call,Van delivery
O000008,2024-01-03,C0005,Wholesale / dealer,V05,Chilli,Pro-tray,8300,1.59,9.2,11982.88,UPI,Walk-in,Van delivery
O000009,2024-01-03,C0002,Retail farmer,V11,Capsicum,Nursery bed,700,2.43,0.0,1701.0,Cash,Walk-in,Self pickup
O000010,2024-01-04,C0004,Retail farmer,V12,Tomato,Pro-tray,1100,1.76,0.0,1936.0,Cash,Walk-in,Self pickup
O000011,2024-01-05,C0006,Retail farmer,V06,Chilli,Pro-tray,2100,1.26,0.0,2646.0,Credit,Walk-in,Self pickup
O000012,2024-01-05,C0007,Retail farmer,V12,Tomato,Pro-tray,1000,1.79,0.0,1790.0,Cash,Phone call,Self pickup
O000013,2024-01-06,C0008,Wholesale / dealer,V12,Tomato,Pro-tray,3300,1.79,11.3,5239.51,Credit,Walk-in,Self pickup
O000014,2024-01-06,C0009,Wholesale / dealer,V14,Marigold,Nursery bed,6900,1.33,11.6,8112.47,UPI,Walk-in,Van delivery
O000015,2024-01-07,C0010,Home gardener,V13,Brinjal,Pro-tray,160,1.21,0.0,193.6,UPI,Walk-in,Self pickup
O000016,2024-01-09,C0011,Home gardener,V12,Tomato,Pro-tray,50,1.83,0.0,91.5,Cash,Walk-in,Self pickup
O000017,2024-01-10,C0012,Retail farmer,V01,Chilli,Nursery bed,1700,1.07,0.0,1819.0,Cash,Walk-in,Self pickup
O000018,2024-01-10,C0013,Home gardener,V13,Brinjal,Pro-tray,100,1.2,0.0,120.0,UPI,WhatsApp,Self pickup
