batch_id,variety_id,method,sow_date,ready_from,seeds_sown,seedlings_ready,seedlings_sold,seedlings_unsold,germination_rate,seed_cost_inr,raising_cost_inr
B00001,V01,Nursery bed,2023-11-30,2024-01-01,8053,5935,5400,535,0.737,4831.8,474.8
B00002,V01,Nursery bed,2023-12-31,2024-02-01,1450,1246,1100,146,0.86,870.0,99.68
B00003,V01,Nursery bed,2024-01-29,2024-03-01,2980,2285,2100,185,0.767,1788.0,182.8
B00004,V01,Nursery bed,2024-02-29,2024-04-01,34774,26077,24500,1577,0.75,20864.4,2086.16
B00005,V01,Nursery bed,2024-03-30,2024-05-01,38964,28978,26400,2578,0.744,23378.4,2318.24
B00006,V01,Nursery bed,2024-04-30,2024-06-01,79940,62353,56700,5653,0.78,47964.0,4988.24
B00007,V01,Nursery bed,2024-05-30,2024-07-01,80163,59427,54700,4727,0.741,48097.8,4754.16
B00008,V01,Nursery bed,2024-06-30,2024-08-01,96711,75645,71300,4345,0.782,58026.6,6051.6
B00009,V01,Nursery bed,2024-07-31,2024-09-01,88988,64696,56100,8596,0.727,53392.8,5175.68
B00010,V01,Nursery bed,2024-08-30,2024-10-01,39764,29742,27300,2442,0.748,23858.4,2379.36
B00011,V01,Nursery bed,2024-09-30,2024-11-01,18730,13748,12800,948,0.734,11238.0,1099.84
B00012,V01,Nursery bed,2024-10-30,2024-12-01,7549,6319,5400,919,0.837,4529.4,505.52
B00013,V01,Nursery bed,2024-11-30,2025-01-01,13165,10238,9500,738,0.778,7899.0,868.18
B00014,V01,Nursery bed,2024-12-31,2025-02-01,8826,7213,6700,513,0.817,5295.6,611.66
B00015,V01,Nursery bed,2025-02-28,2025-04-01,1957,1595,1400,195,0.815,1174.2,135.26
B00016,V01,Nursery bed,2025-03-30,2025-05-01,10806,8990,8300,690,0.832,6483.6,762.35
B00017,V01,Nursery bed,2025-04-30,2025-06-01,24915,19057,17600,1457,0.765,14949.0,1616.03
B00018,V01,Nursery bed,2025-05-30,2025-07-01,116890,94622,80400,14222,0.809,70134.0,8023.95
B00019,V01,Nursery bed,2025-06-30,2025-08-01,67976,52939,48400,4539,0.779,40785.6,4489.23
B00020,V01,Nursery bed,2025-07-31,2025-09-01,62103,49757,45400,4357,0.801,37261.8,4219.39
B00021,V01,Nursery bed,2025-08-30,2025-10-01,29237,21508,19300,2208,0.736,17542.2,1823.88
B00022,V01,Nursery bed,2025-09-30,2025-11-01,41103,32966,29800,3166,0.802,24661.8,2795.52
B00023,V01,Nursery bed,2025-10-30,2025-12-01,15964,13203,11600,1603,0.827,9578.4,1119.61
B00024,V01,Nursery bed,2025-12-31,2026-02-01,4788,3755,3200,555,0.784,2872.8,336.45
B00025,V01,Nursery bed,2026-01-28,2026-03-01,15861,12723,11600,1123,0.802,9516.6,1139.98
B00026,V01,Nursery bed,2026-02-28,2026-04-01,5862,4528,4300,228,0.773,3517.2,405.71
B00027,V01,Nursery bed,2026-03-30,2026-05-01,1410,1147,1000,147,0.814,846.0,102.77
B00028,V01,Nursery bed,2026-04-30,2026-06-01,87097,65429,56900,8529,0.751,52258.2,5862.44
B00029,V01,Nursery bed,2026-05-30,2026-07-01,86140,70191,66400,3791,0.815,51684.0,6289.11
B00030,V01,Nursery bed,2026-06-30,2026-08-01,129658,98176,83200,14976,0.757,77794.8,8796.57
B00031,V01,Pro-tray,2023-11-30,2024-01-01,12088,10644,9100,1544,0.881,7252.8,2980.32
B00032,V01,Pro-tray,2023-12-31,2024-02-01,2200,2061,1800,261,0.937,1320.0,577.08
B00033,V01,Pro-tray,2024-01-29,2024-03-01,6954,6390,5900,490,0.919,4172.4,1789.2
B00034,V01,Pro-tray,2024-02-29,2024-04-01,50320,44857,42420,2437,0.891,30192.0,12559.96
B00035,V01,Pro-tray,2024-03-30,2024-05-01,41890,38509,33070,5439,0.919,25134.0,10782.52
B00036,V01,Pro-tray,2024-04-30,2024-06-01,61643,54903,50780,4123,0.891,36985.8,15372.84
B00037,V01,Pro-tray,2024-05-30,2024-07-01,226507,201688,178330,23358,0.89,135904.2,56472.64
B00038,V01,Pro-tray,2024-06-30,2024-08-01,72960,68099,58740,9359,0.933,43776.0,19067.72
B00039,V01,Pro-tray,2024-07-31,2024-09-01,30470,27318,23940,3378,0.897,18282.0,7649.04
B00040,V01,Pro-tray,2024-08-30,2024-10-01,44391,40463,34330,6133,0.912,26634.6,11329.64
B00041,V01,Pro-tray,2024-09-30,2024-11-01,30819,28636,26930,1706,0.929,18491.4,8018.08
B00042,V01,Pro-tray,2024-10-30,2024-12-01,16920,15250,13400,1850,0.901,10152.0,4270.0
