variety_id,crop,variety,brand,price_protray_2024,price_bed_2024,seed_cost_per_seed,days_to_ready
V01,Chilli,VNR 332 (Rani),VNR Seeds,1.55,1.1,0.6,32
V02,Chilli,VNR-38,VNR Seeds,1.5,1.05,0.58,32
V03,Chilli,US 1081,BASF Nunhems,1.65,1.15,0.68,33
V04,Chilli,Rise,BASF Nunhems,1.7,1.2,0.7,33
V05,Chilli,CCH-6300,HM Clause,1.6,1.12,0.62,32
V06,Chilli,CT-20,Kalash Seeds,1.3,0.9,0.42,31
V07,Chilli,Nisha,Thakar Seed,1.25,0.88,0.4,31
V08,Chilli,NS 1701 LG,Namdhari Seeds,1.55,1.1,0.6,32
V09,Chilli,HPH 789,Syngenta,1.7,1.2,0.72,33
V10,Chilli,Sitara,Other brands,1.35,0.95,0.45,31
V11,Capsicum,Indra,Syngenta,3.2,2.4,1.9,38
V12,Tomato,TO 1057,Syngenta,1.8,1.25,0.85,26
V13,Brinjal,F1 Brinjal (mixed brands),Various,1.2,0.8,0.25,30
V14,Marigold,NS 1503,Namdhari Seeds,1.8,1.3,0.9,25
V15,Marigold,Kavya,Kalash Seeds,1.7,1.25,0.8,25
V16,Tobacco,428,Local selection,,0.12,0.002,48
